Valor,Último,Máximo,Mínimo,Hora
Acciona,219.80,223.20,214.20,26/02
Acciona Ener,21.44,22.20,21.24,26/02
Acerinox,13.20,13.38,13.10,26/02
ACS,109.90,111.90,107.30,26/02
Aena,26.92,27.21,26.78,26/02
Amadeus,51.36,51.90,49.19,26/02
ArcelorMittal,55.68,57.04,55.14,26/02
B. Sabadell,3.28,3.30,3.24,26/02
Bankinter,14.40,14.49,14.22,26/02
BBVA,20.10,20.12,19.89,26/02
CaixaBank,10.65,10.65,10.52,26/02
Cellnex Telecom,31.10,31.36,30.81,26/02
Colonial SFL,5.52,5.54,5.45,26/02
Enagás,15.10,15.33,15.07,26/02
Endesa,34.97,35.42,34.82,26/02
Ferrovial Se,62.78,63.04,59.74,26/02
Fluidra,22.60,23.14,22.32,26/02
Grifols,11.07,11.07,10.81,26/02
IAG,5.24,5.25,5.08,26/02
Iberdrola,20.05,20.32,19.95,26/02
Inditex,57.44,57.48,56.76,26/02
Indra,62.75,63.95,54.30,26/02
Logista,32.00,32.10,31.42,26/02
Mapfre,3.98,3.99,3.93,26/02
Merlin Properties,14.29,14.48,14.16,26/02
Naturgy,26.06,26.24,25.94,26/02
Puig Brands B,16.47,16.54,16.18,26/02
Redeia,15.44,16.52,15.38,26/02
Repsol,18.98,18.99,18.56,26/02
ROVI,84.60,84.90,81.75,26/02
Sacyr,4.51,4.55,4.43,26/02
B. Santander,11.10,11.19,10.97,26/02
Solaria,21.23,22.05,19.55,26/02
Telefónica,3.65,3.73,3.61,26/02
Unicaja Banco,2.73,2.74,2.69,26/02
Acciona,237.40,237.80,222.40,09:52
Acciona Ener,21.04,21.58,20.44,09:52
Acerinox,13.47,13.48,12.90,09:52
ACS,110.80,110.90,109.00,09:52
Aena,26.92,27.03,26.80,09:52
Amadeus,52.54,52.70,50.96,09:52
ArcelorMittal,56.40,56.64,55.92,09:52
B. Sabadell,3.27,3.28,3.24,09:51
Bankinter,14.50,14.50,14.30,09:52
BBVA,20.09,20.13,19.94,09:51
CaixaBank,10.76,10.76,10.61,09:52
Cellnex Telecom,31.10,31.87,30.18,09:52
Colonial SFL,5.68,5.70,5.53,09:52
Enagás,15.19,15.24,15.06,09:52
Endesa,34.91,35.15,34.76,09:52
Ferrovial Se,63.20,63.30,62.50,09:51
Fluidra,22.88,23.00,22.64,09:52
Grifols,10.35,10.61,10.15,09:52
IAG,5.20,5.30,5.11,09:52
Iberdrola,19.99,20.03,19.75,09:52
Inditex,57.46,57.96,57.40,09:51
Indra,62.30,62.90,60.85,09:52
Logista,32.26,32.28,31.98,09:52
Mapfre,4.00,4.00,3.98,09:51
Merlin Properties,15.26,15.32,14.36,09:52
Naturgy,26.20,26.24,26.04,09:52
Puig Brands B,16.35,16.48,16.29,09:51
Redeia,15.25,15.54,15.18,09:52
Repsol,19.02,19.05,18.83,09:52
ROVI,84.05,84.70,83.85,09:48
Sacyr,4.55,4.60,4.49,09:52
B. Santander,11.00,11.15,10.91,09:52
Solaria,23.90,24.05,22.03,09:52
Telefónica,3.74,3.76,3.62,09:52
Unicaja Banco,2.74,2.74,2.70,09:52
Acciona,253.20,260.00,222.40,15:10
Acciona Ener,22.38,22.56,20.44,15:10
Acerinox,13.30,13.52,12.90,15:10
ACS,108.80,111.10,108.50,15:08
Aena,26.64,27.03,26.56,15:09
Amadeus,53.26,53.30,50.96,15:10
ArcelorMittal,55.26,56.64,55.04,15:05
B. Sabadell,3.26,3.28,3.24,15:10
Bankinter,14.42,14.58,14.30,15:10
BBVA,20.00,20.21,19.84,15:10
CaixaBank,10.63,10.78,10.57,15:10
Cellnex Telecom,32.08,32.32,30.18,15:10
Colonial SFL,5.73,5.83,5.53,15:10
Enagás,15.26,15.26,15.06,15:10
Endesa,34.36,35.15,34.32,15:09
Ferrovial Se,63.00,63.54,62.50,15:10
Fluidra,22.78,23.00,22.64,15:07
Grifols,10.37,10.61,10.15,15:10
IAG,4.87,5.30,4.82,15:11
Iberdrola,20.06,20.13,19.75,15:10
Inditex,56.80,57.96,56.78,15:10
Indra,61.50,63.15,60.85,15:10
Logista,32.30,32.34,31.98,15:10
Mapfre,3.97,4.01,3.97,15:08
Merlin Properties,15.00,15.36,14.36,15:10
Naturgy,26.42,26.44,26.04,15:09
Puig Brands B,16.34,16.48,16.25,15:09
Redeia,15.55,15.59,15.08,15:11
Repsol,19.16,19.19,18.83,15:11
ROVI,84.20,84.70,83.85,15:09
Sacyr,4.52,4.60,4.46,15:10
B. Santander,10.92,11.15,10.82,15:11
Solaria,22.56,24.18,22.03,15:11
Telefónica,3.81,3.87,3.62,15:10
Unicaja Banco,2.73,2.75,2.70,15:09
Acciona,242.60,260.00,222.40,16:11
Acciona Ener,22.20,22.56,20.44,16:11
Acerinox,13.25,13.52,12.90,16:11
ACS,110.10,111.10,108.40,16:11
Aena,26.73,27.03,26.56,16:10
Amadeus,53.12,53.32,50.96,16:11
ArcelorMittal,54.90,56.64,54.76,16:11
B. Sabadell,3.24,3.28,3.22,16:11
Bankinter,14.31,14.58,14.23,16:11
BBVA,19.78,20.21,19.66,16:11
CaixaBank,10.55,10.78,10.49,16:11
Cellnex Telecom,32.45,32.71,30.18,16:11
Colonial SFL,5.74,5.83,5.53,16:11
Enagás,15.32,15.35,15.06,16:11
Endesa,34.47,35.15,34.20,16:12
Ferrovial Se,63.24,63.54,62.50,16:11
Fluidra,22.86,23.00,22.64,16:11
Grifols,10.39,10.61,10.15,16:12
IAG,4.87,5.30,4.82,16:11
Iberdrola,20.10,20.14,19.75,16:11
Inditex,56.60,57.96,56.46,16:11
Indra,62.25,63.15,60.85,16:11
Logista,32.26,32.34,31.98,16:07
Mapfre,3.95,4.01,3.95,16:09
Merlin Properties,15.08,15.36,14.36,16:11
Naturgy,26.40,26.48,26.04,16:10
Puig Brands B,16.31,16.48,16.25,16:09
Redeia,15.48,15.59,15.08,16:10
Repsol,19.00,19.20,18.83,16:12
ROVI,84.35,84.70,83.85,16:12
Sacyr,4.53,4.60,4.46,16:11
B. Santander,10.78,11.15,10.71,16:12
Solaria,22.15,24.18,22.03,16:12
Telefónica,3.83,3.87,3.62,16:11
Unicaja Banco,2.70,2.75,2.69,16:11
