empresa,sector,per,roe,deuda_equity,dividend_yield,market_cap,ebitda
Acciona,Industrials,8.067671155994265,0.17063323416914578,289.48151296217594,2.37,12089223168,3446000000.0
Acciona Energia,Utilities,8.822614669799805,0.11223440712816998,88.48526387936944,2.05,6778356224,1484000000.0
Acerinox,Basic Materials,0.0,-0.01941597988342854,104.57947547687225,5.12,3069232384,378700000.0
ACS,Industrials,14.20836331077949,0.19735776426718413,289.4862144042052,1.87,28682229760,3519460000.0
Aena,Industrials,14.597519350723482,0.23208450330023808,56.72414480402178,4.19,38910001152,3897811000.0
Almirall,Healthcare,46.045099605213515,0.031035535466205466,23.055017234492656,1.61,2489717760,233993000.0
Amadeus,Technology,22.974611583508942,0.2751921214743392,66.41531202999774,2.77,21875116032,2534700000.0
ArcelorMittal,Basic Materials,0.0,0.05787096537289318,24.620864392465023,1.12,34616000512,7124000000.0
Bankinter,Financial Services,8.380633134108324,0.1700036996115096,161.9621136073957,5.56,12056009728,0.0
BBVA,Financial Services,7.124149799346924,0.18326213930781973,155.7004620346962,5.07,104532180992,0.0
CaixaBank,Financial Services,8.447051350074478,0.15297325370033757,128.5068813295248,5.01,71485825024,0.0
Cellnex,Real Estate,0.0,-0.02977596634101576,180.6606263982657,1.31,19950454784,2988078000.0
Colonial,Real Estate,0.0,0.058649133456324616,87.29546598059439,5.73,3265210368,473592000.0
Endesa,Utilities,10.082943325950986,0.2579206758976766,127.84557615583196,3.68,36998402048,5314000000.0
Enagas,Utilities,9.658897754757904,0.1473690065829157,122.67516344300225,6.6,3900439808,784092000.0
Ferrovial,Industrials,31.66767551052955,0.15030467163168584,181.65199729180773,1.6,40960876544,1998000000.0
Grifols,Healthcare,40.85188741269319,0.026670170114962845,171.41548205754617,1.62,6323905536,1484464000.0
IAG,Industrials,4.700043091098523,,281.11831442463534,2.38,19050643456,
Iberdrola,Utilities,15.044018427530924,0.12552873522216737,108.03336601817215,3.31,134075654144,16478805000.0
Indra,Technology,0.0,0.2513171938998223,193.65025179061678,0.53,10175886336,768751000.0
Inditex,Consumer Cyclical,23.15867073723212,0.29812970115877213,30.031510469607642,1.26,160555220992,10946000000.0
Logista,Industrials,11.22426986694336,0.0,0.0,6.41,4174650880,592993000.0
Mapfre,Financial Services,0.0,0.12036259683949882,31.66877437592323,4.44,11483353088,0.0
Melia,Consumer Cyclical,8.613830417781681,0.2015663648743625,119.83189074320552,1.59,2005936768,609324000.0
Merlin,Real Estate,6.761781147548131,0.09736028490920476,62.69493631254805,2.93,8172057088,954226000.0
Naturgy,Utilities,0.0,0.2165489188610576,179.26568186683792,9.37,24123289600,5543000000.0
Puig,N/A,0.0,0.15225832130543476,34.686407807824445,2.36,14837916672,1117197000.0
Redeia,Utilities,18.706645965576172,0.09634840859531546,116.8056511462885,5.24,8197990400,1305522000.0
Repsol,Energy,6.82866190686638,0.07553699284009546,52.65712012728719,4.56,26751672320,5890000000.0
Sabadell,Financial Services,7.827857881784439,0.1263898958190362,160.4232718278568,6.76,15341688832,0.0
Santander,Financial Services,6.785458095824521,0.13667732868081806,316.18881457788115,2.61,140565528576,0.0
Sacyr,Industrials,28.878276998346504,0.08246165144387432,898.5141196125062,2.24,3406810624,1301616000.0
Solaria,Utilities,6.881818337873979,0.19509888427692426,214.24921933465586,0.0,2741422336,266732000.0
Telefonica,Communication Services,0.0,-0.002532692407091539,232.7027446115677,8.28,20479488000,12354000000.0
Unicaja,Financial Services,6.569103943749662,0.08935388095574721,55.846175597342004,6.96,6477531136,0.0
