Valor,Último,Máximo,Mínimo,Hora
ACS,105.70,106.30,104.20,13:06
Aena,27.43,27.44,27.00,13:04
Amadeus,48.57,48.92,48.03,13:01
ArcelorMittal,56.12,56.22,54.30,13:05
B. Sabadell,3.36,3.37,3.31,13:06
Bankinter,14.73,14.81,14.48,13:03
BBVA,20.20,20.29,19.93,13:06
CaixaBank,11.03,11.09,10.93,13:06
Cellnex Telecom,30.63,30.67,30.35,13:06
Colonial SFL,5.34,5.38,5.31,12:54
Enagás,14.98,15.02,14.90,13:04
Endesa,32.35,32.35,31.58,13:06
Ferrovial Se,61.84,61.86,61.20,13:03
Fluidra,24.34,24.34,23.88,12:58
Grifols,11.16,11.17,10.95,13:05
IAG,5.03,5.04,4.98,13:06
Iberdrola,19.81,19.90,19.75,13:06
Inditex,57.60,57.90,57.16,13:04
Indra,52.88,53.95,52.45,13:03
Logista,33.72,33.92,33.52,13:04
Mapfre,4.03,4.05,3.98,13:04
Merlin Properties,13.82,13.87,13.68,13:06
Naturgy,25.58,25.74,25.50,13:06
Puig Brands B,16.43,16.49,16.13,13:06
Redeia,15.97,16.02,15.86,13:03
Repsol,18.39,18.40,18.08,13:06
ROVI,77.75,78.55,77.20,13:05
Sacyr,4.43,4.44,4.38,13:02
B. Santander,11.07,11.09,10.82,13:06
Solaria,18.51,18.76,18.41,13:04
Telefónica,3.61,3.62,3.58,13:06
Unicaja Banco,2.77,2.78,2.74,13:05
Acciona,197.30,199.10,196.10,16:55
Acciona Ener,21.50,21.72,21.28,16:57
Acerinox,13.22,13.32,13.09,16:56
ACS,106.40,107.00,104.20,16:58
Aena,27.40,27.52,27.00,16:58
Amadeus,47.76,48.92,47.41,16:59
ArcelorMittal,56.12,56.66,54.30,16:58
B. Sabadell,3.34,3.40,3.31,16:59
Bankinter,14.57,14.81,14.48,16:58
BBVA,20.06,20.36,19.93,16:58
CaixaBank,11.00,11.13,10.93,16:58
Cellnex Telecom,30.81,30.85,30.35,16:58
Colonial SFL,5.39,5.39,5.31,16:58
Enagás,15.08,15.12,14.90,16:58
Endesa,32.00,32.37,31.58,16:59
Ferrovial Se,61.60,62.08,61.20,16:58
Fluidra,24.12,24.36,23.88,16:57
Grifols,10.98,11.17,10.94,16:58
IAG,4.97,5.05,4.95,16:58
Iberdrola,19.80,19.90,19.72,16:58
Inditex,57.70,57.90,57.16,16:59
Indra,52.75,53.95,52.45,16:58
Logista,33.66,33.92,33.52,16:58
Mapfre,4.03,4.05,3.98,16:58
Merlin Properties,13.88,13.88,13.68,16:58
Naturgy,25.78,25.78,25.50,16:58
Puig Brands B,16.43,16.49,16.13,16:58
Redeia,16.18,16.18,15.86,16:58
Repsol,18.49,18.61,18.08,16:59
ROVI,77.40,78.55,77.10,16:58
Sacyr,4.45,4.48,4.38,16:55
B. Santander,10.96,11.23,10.82,16:59
Solaria,18.91,19.03,18.41,16:57
Telefónica,3.66,3.66,3.58,16:58
Unicaja Banco,2.76,2.79,2.74,16:55
