Valor,Último,Máximo,Mínimo,Hora
Acciona,208.80,211.00,198.60,17:05
Acciona Ener,19.86,19.95,19.12,17:04
Acerinox,12.14,12.17,11.68,17:05
ACS,103.90,104.10,97.60,17:05
Aena,25.23,25.29,24.85,17:05
Amadeus,53.84,53.92,53.12,17:05
ArcelorMittal,45.68,46.13,43.68,17:05
B. Sabadell,3.04,3.04,2.89,17:05
Bankinter,13.36,13.38,12.67,17:05
BBVA,18.25,18.31,17.58,17:05
CaixaBank,9.96,9.98,9.49,17:05
Cellnex Telecom,29.26,29.34,28.37,17:05
Colonial SFL,5.21,5.21,5.09,17:05
Enagás,14.67,14.71,14.42,17:05
Endesa,33.71,33.78,32.81,17:05
Ferrovial Se,56.22,56.38,53.90,17:05
Fluidra,20.30,20.64,20.22,17:05
Grifols,9.95,10.00,9.70,17:05
IAG,4.15,4.16,3.98,17:05
Iberdrola,19.19,19.21,18.66,17:05
Inditex,50.86,51.16,49.82,17:05
Indra,59.95,60.90,58.20,17:05
Logista,30.18,30.20,29.30,17:05
Mapfre,3.63,3.64,3.52,17:05
Merlin Properties,13.77,13.79,13.40,17:05
Naturgy,25.04,25.12,24.66,17:05
Puig Brands B,14.95,14.95,14.46,17:04
Redeia,14.77,14.82,14.54,17:05
Repsol,20.93,21.11,20.63,17:05
ROVI,80.40,80.40,77.00,17:05
Sacyr,4.10,4.10,3.92,17:05
B. Santander,9.48,9.51,9.11,17:05
Solaria,19.08,19.11,18.26,17:05
Telefónica,3.59,3.61,3.53,17:05
Unicaja Banco,2.52,2.52,2.40,17:05
